Sl.No,Star,Planetmass,Planetmass_error_min,Planetmass_error_max,Starmass,Starmass_error_min,Starmass_error_max,Age,Age_error_min,Age_error_max,Orbital_period,Orbital_period_error_min,Orbital_period_error_max,semimajor_axis,semimajor_axis_error_min,semimajor_axis_error_max,Teff,log g,Fe/H,Fe/H exop.eu,Teff_ error_max,Teff_ error_min,log g error_max,log g error_min,Fe/H error_max,Fe/H error_min,Comment
1,HD 106906,11,2,2,1.5,0.1,0.1,0.013,0.002,0.002,,,,850,260,560,6798,4.23,0.04,0..04,20,40,0.02,0.05,0.01,0.02,
2,HR 8799,9.6,1.9,1.9,1.56,0,0,0.06,0.03,0.03,,,,,,,7339,4.19,-0.65,-0.47,4,5,0.01,0.02,0.02,0.01,
3,HR 8799,7,2,4,1.56,0,0,,,,,,,,,,7339,4.19,-0.65,-0.47,4,5,0.01,0.01,0.02,0.01,
4,HR 8799,10,3,3,1.56,0,0,,,,,,,,,,7339,4.19,-0.65,-0.47,4,5,0.01,0.01,0.02,0.01,
5,HR 8799,10,4,7,1.56,0,0,,,,,,,,,,7339,4.19,-0.65,-0.47,4,5,0.01,0.01,0.02,0.01,
6,bet pic,11,2,2,1.73,,,0.04,0.004,0.004,,,,9.93,0.03,0.03,7890,3.83,-0.21,NA,13,17,0.03,0.02,0.03,0.02,
7,bet pic,10.139,2,2,1.73,,,0.04,0.004,0.004,,,,9.93,0.03,0.03,7890,3.83,-0.21,NA,13,17,0.03,0.02,0.03,0.02,
8,PDS 70,8,6,6,0.76,0.02,0.02,0.0054,0.001,0.001,45108,1790,3580,22.7,0.5,2,4152,3.68,-0.11,NA,5,9,0.01,0.01,0.01,0.01,* temp is taken from Swastik paper
8,PDS 70,4.4,1.1,1.1,0.76,0.02,0.02,0.0054,0.001,0.001,69945,5771,11500,,,,4152,3.68,-0.11,NA,5,9,0.01,0.01,0.01,0.01,* temp is taken from Swastik paper
9,GJ 504,4,4.5,1,1.22,0.08,0.08,0.16,0.35,0.6,,,,43.5,,,6291,4.34,0.27,0.27,14,16,0.01,0.02,0.02,0.03,"*the data for t, Fe/H, log g is taken from Swastik Paper/ and other data is from NASA exo archive"
10,51 Eri,2,0,0,1.75,0.05,0.05,0.02,0.006,0.006,11688,6209.25,3287.25,13.2,0.2,0.2,7276,4.08,0.13,-0.027,11,9,0.03,0.02,0.03,0.02,
12,HD 95086,5,2,2,1.77,0.362665,0.215,0.017,0.004,0.004,,,,55.7,2.5,2.5,7883,4.58,0.14,NA,43,65,0.02,0.06,0.05,0.04,
14,LkCa 15,6,1,1,0.97,0.03,0.03,0.002,NA,NA,40000,0,0,15.7,2.1,2.1,4589,3.65,0.26,NA,7,7,0.01,0.01,0.01,0.01,
15,LkCa 15,NA,NA,NA,0.97,0.03,0.03,0.002,NA,NA,,,,18.6,2.5,2.5,4589,3.65,0.26,NA,7,7,0.01,0.01,0.01,0.01,
16,HIP 65426,9,3,3,1.96,0.04,0.04,0.014,0.004,0.004,,,,92,,,8840,5,-0.03,NA,200,200,0.13,0.18,0.1,0.1,
17,GU Psc,11.3,1.7,1.7,0.325,0.025,0.025,0.1,0.03,0.03,,,,2000,200,200,3250,4.75,0.1,NA,32,32,0.07,0.07,0.13,0.13,
18,Ross 458,6,0,0,0.556419,0.0201586,0.0201586,0.5,0.3,0.35,,,,1100,,,3600,4.71,0.25,NA,73,73,0.08,0.05,0.08,0.08,"*Orbiting 2 stars, and sm axis >1100"
19,Ross 458 B,4,1,1,0.17,0.02,0.01,2.5,0.4,0.4,,,,118,1.3,1.3,,,0.01,0,,,,,,,All  data from here is From Nasa Exoplanet Archive collected by Satyam Soni
20,AB Aur,9,0,0,2.4,0.2,0.2,0.003,0.002,0.002,,,,93.9,49.3,49.3,,,,NA,,,,,,,
21,AF Lep,3.2,0.6,0.7,1.2,0.06,0.06,0.024,0.003,0.003,8030,1800,1800,8.4,1.3,1.1,,,0.19,0.19,,,,,,,*planet name CFHTWIR-Oph 98 b
22,Oph 98,7.8,0.8,0.7,0.0147,0.0008,0.0008,0.003,0,0,8040000,470000,470000,200,6,6,,,,NA,,,,,,,
23,COCONUTS-2,6.3,1.9,1.5,0.37,0.02,0.02,0.475,0.325,0.325,402000000,100000000,470000000,7506,2060,5205,,,0,0,,,,,,,
24,HD 169142,3,2,2,1.85,0,0,0.006,0,0,,,,37.2,1.5,1.5,,,,NA,,,,,,,
25,W0336,8.25,4.25,4.25,0.0131,0.0059,0.0059,3,2,2,2560,730,730,0.97,0.05,0.05,,,,NA,,,,,,,*planet name WISE J033605.05-014350.4 b
26,YSES 2,6.3,0.9,1.6,1.1,0.03,0.03,0.0139,0.0023,0.0023,,,,115,0,0,,,,NA,,,,,,,
27,b Cen AB,10.9,1.6,1.6,5.5,0.5,0.5,0.015,0.002,0.002,1790000,830000,830000,556,17,17,,,,NA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Controversial,,,,,,,,,,,,,,,,,,,,,,,,,,
